ResponseId,b1_pid3,b1_pid3_t,b1_pid7,benefits_wrong_deny,benefits_wrong_receive,benefits_wrong_apply,assign_abstract_fraud_orde,abstract_wrong_count,abstract_wrong_not_count,abstract_wrong_not_vote,abstract_frequency_count,abstract_frequency_not_cou,abstract_frequency_not_vot,assign_vignette,assign_vignette_support,assign_vignette_wording,wording_wrong_serious,vignette_uncounted,vignette_forgone,vignette_fraudulent,elections_mistake,fraud_democrat_loses,fraud_republican_loses,ballot_security,vote_secrecy,assign_vote_accuracy_order,mail_in_vote_accuracy,in_person_vote_accuracy,weight,Party,vignette_error,vignette_support,vignette_wording,vignette_dv,worse_mistake,vignette_interaction,own_party,error_hurt
855,1,__NA__,2,6,7,5,1,4,5,6,1,1,5,1,3,1,1,4,,,1,4,4,1,1,2,1,1,0.214120498012526,Democrat,Uncounted,None,wrong,0.5,Uncounted,Uncounted-None,0,0
856,2,__NA__,6,5,7,5,1,7,7,7,20,40,0,3,2,2,2,,,5,2,4,1,5,5,1,4,1,0.81270057445082,Republican,Fraudulent,Trump,serious,0.666666666666667,Fraudulent,Fraudulent-Trump,1,0
857,2,__NA__,7,7,7,5,1,7,7,6,10,10,0,2,3,1,1,,1,,2,3,1,3,3,2,1,2,0.403111189402197,Republican,Forgone,None,wrong,0,Fraudulent,Forgone-None,0,0
858,3,__NA__,5,2,7,2,2,7,7,7,33,25,0,1,1,1,1,7,,,2,4,1,5,3,1,4,4,0.337368972885342,Republican,Uncounted,Biden,wrong,1,Fraudulent,Uncounted-Biden,0,0
859,1,__NA__,2,6,7,6,2,7,7,7,0,0,0,1,1,2,2,7,,,2,4,4,1,1,1,1,1,1.3171070508174,Democrat,Uncounted,Biden,serious,1,Fraudulent,Uncounted-Biden,1,1
860,2,__NA__,7,7,7,6,2,7,7,7,25,10,0,1,1,2,2,7,,,2,3,1,5,5,2,2,2,0.81270057445082,Republican,Uncounted,Biden,serious,1,Fraudulent,Uncounted-Biden,0,0
861,2,__NA__,7,5,7,5,1,2,2,6,4,10,3,3,3,2,2,,,5,2,4,3,3,3,1,2,1,0.521655558188338,Republican,Fraudulent,None,serious,0.666666666666667,Fraudulent,Fraudulent-None,0,1
862,3,__NA__,5,7,7,7,1,7,7,7,10,5,3,2,1,1,1,,2,,2,5,1,4,4,2,4,2,0.440850918749223,Republican,Forgone,Biden,wrong,0.166666666666667,Fraudulent,Forgone-Biden,0,0
863,2,__NA__,6,6,5,3,2,5,5,5,1,1,0,3,1,1,1,,,6,1,3,2,2,3,2,2,1,1.03917603666402,Republican,Fraudulent,Biden,wrong,0.833333333333333,Uncounted,Fraudulent-Biden,0,1
864,2,__NA__,6,7,6,6,1,7,7,7,35,15,5,2,2,1,1,,6,,2,3,1,5,4,2,4,1,0.787386944706177,Republican,Forgone,Trump,wrong,0.833333333333333,Fraudulent,Forgone-Trump,1,1
865,2,__NA__,7,7,7,7,2,7,7,7,75,60,60,3,3,2,2,,,7,2,4,1,5,5,1,4,4,0.748837781170419,Republican,Fraudulent,None,serious,1,Fraudulent,Fraudulent-None,0,1
866,3,__NA__,5,7,7,7,2,7,6,6,30,30,2,1,2,1,1,7,,,2,3,1,4,9,1,3,2,0.478796936576144,Republican,Uncounted,Trump,wrong,1,Fraudulent,Uncounted-Trump,1,1
867,2,__NA__,6,7,6,,1,6,5,7,10,25,50,2,3,1,1,,5,,1,5,5,3,2,1,9,2,0.317117102020276,Republican,Forgone,None,wrong,0.666666666666667,Uncounted,Forgone-None,0,0
868,1,__NA__,2,7,7,6,2,7,7,7,0,35,25,2,3,1,1,,7,,1,2,4,2,2,2,2,1,0.658832893664628,Democrat,Forgone,None,wrong,1,Uncounted,Forgone-None,0,0
869,2,__NA__,7,7,7,7,1,7,6,6,20,10,0,3,3,2,2,,,7,2,2,2,4,4,2,4,1,0.390555264483173,Republican,Fraudulent,None,serious,1,Fraudulent,Fraudulent-None,0,1
870,2,__NA__,7,4,5,3,1,6,2,2,5,1,1,3,1,2,2,,,5,2,2,1,4,4,1,4,2,0.418571918276944,Republican,Fraudulent,Biden,serious,0.666666666666667,Fraudulent,Fraudulent-Biden,0,1
871,2,__NA__,7,7,5,7,1,7,7,7,50,50,50,2,2,1,1,,7,,1,1,1,5,3,1,4,2,0.984369090502259,Republican,Forgone,Trump,wrong,1,Uncounted,Forgone-Trump,1,1
872,1,__NA__,1,7,7,7,1,7,7,7,2,2,3,3,3,1,1,,,7,1,4,4,2,3,2,1,1,1.76437946789183,Democrat,Fraudulent,None,wrong,1,Uncounted,Fraudulent-None,0,1
873,3,__NA__,5,5,7,6,1,5,5,5,25,10,10,1,2,1,1,6,,,2,2,2,3,5,1,2,2,0.37418661215341,Republican,Uncounted,Trump,wrong,0.833333333333333,Fraudulent,Uncounted-Trump,1,1
874,1,__NA__,1,7,7,7,1,7,7,7,10,20,5,1,1,2,2,7,,,1,5,5,5,9,1,2,2,1.76437946789183,Democrat,Uncounted,Biden,serious,1,Uncounted,Uncounted-Biden,1,1
875,1,__NA__,1,7,6,7,1,7,7,6,0,0,0,3,3,1,1,,,6,2,4,4,2,2,1,1,1,0.605701642028286,Democrat,Fraudulent,None,wrong,0.833333333333333,Fraudulent,Fraudulent-None,0,1
876,2,__NA__,6,5,7,5,1,7,7,6,100,100,75,1,1,1,1,7,,,1,1,2,4,3,1,3,3,0.494044867220625,Republican,Uncounted,Biden,wrong,1,Uncounted,Uncounted-Biden,0,0
877,1,__NA__,1,5,5,5,1,5,5,5,5,10,5,3,1,2,2,,,4,1,2,3,6,9,1,2,2,0.234549882076947,Democrat,Fraudulent,Biden,serious,0.5,Uncounted,Fraudulent-Biden,1,0
878,3,__NA__,5,7,7,3,1,7,5,5,10,5,0,3,1,1,1,,,7,2,4,1,3,9,2,2,2,0.433838566771661,Republican,Fraudulent,Biden,wrong,1,Fraudulent,Fraudulent-Biden,0,1
879,1,__NA__,1,7,7,7,1,5,6,7,0,0,1,1,3,1,1,7,,,1,4,4,1,1,1,1,1,0.406437735218781,Democrat,Uncounted,None,wrong,1,Uncounted,Uncounted-None,0,0
880,1,__NA__,1,7,5,7,1,4,7,7,5,0,25,3,3,1,1,,,3,1,4,4,2,2,2,1,1,0.446352353198771,Democrat,Fraudulent,None,wrong,0.333333333333333,Uncounted,Fraudulent-None,0,1
881,2,__NA__,7,5,5,5,2,7,7,7,100,50,50,3,2,1,1,,,5,2,3,1,5,9,1,4,2,0.430087874272595,Republican,Fraudulent,Trump,wrong,0.666666666666667,Fraudulent,Fraudulent-Trump,1,0
882,4,consevative,5,7,7,5,1,7,7,7,25,26,0,2,3,2,2,,1,,2,4,1,5,4,2,4,3,0.295952912772466,Republican,Forgone,None,serious,0,Fraudulent,Forgone-None,0,0
883,1,__NA__,1,7,7,7,2,7,7,7,0,0,0,1,3,2,2,7,,,1,4,4,1,9,2,1,1,6.43622365857457,Democrat,Uncounted,None,serious,1,Uncounted,Uncounted-None,0,0
884,1,__NA__,2,7,6,7,1,1,2,2,0,5,8,1,1,2,2,2,,,1,3,4,2,4,1,1,1,0.315851694907942,Democrat,Uncounted,Biden,serious,0.166666666666667,Uncounted,Uncounted-Biden,1,1
885,4,Libertarian,5,5,7,3,2,7,7,7,12,2,0,2,1,1,1,,7,,2,4,1,5,4,1,4,2,0.476933262813426,Republican,Forgone,Biden,wrong,1,Fraudulent,Forgone-Biden,0,0
886,1,__NA__,2,6,7,6,2,5,5,5,0,0,5,1,2,1,1,5,,,2,4,4,1,2,2,1,1,0.484401042862477,Democrat,Uncounted,Trump,wrong,0.666666666666667,Fraudulent,Uncounted-Trump,0,0
887,2,__NA__,6,6,6,3,2,5,5,5,15,25,0,1,2,1,1,7,,,1,3,2,4,3,2,2,2,0.639330432286569,Republican,Uncounted,Trump,wrong,1,Uncounted,Uncounted-Trump,1,1
888,4,libertarian,5,5,7,6,2,5,6,7,4,4,0,2,3,1,1,,7,,1,4,1,3,3,1,2,1,0.331347850696969,Republican,Forgone,None,wrong,1,Uncounted,Forgone-None,0,0
889,2,__NA__,7,6,6,6,2,6,6,6,25,15,5,2,2,2,2,,7,,2,5,5,3,4,1,4,2,1.05169437850096,Republican,Forgone,Trump,serious,1,Fraudulent,Forgone-Trump,1,1
890,2,__NA__,7,2,7,3,1,7,7,6,45,55,35,3,1,2,2,,,7,2,2,2,5,4,1,4,2,0.428413796128578,Republican,Fraudulent,Biden,serious,1,Fraudulent,Fraudulent-Biden,0,1
891,3,__NA__,5,7,7,7,2,7,7,7,100,100,0,3,2,1,1,,,7,2,4,1,5,5,2,3,3,0.414241796391694,Republican,Fraudulent,Trump,wrong,1,Fraudulent,Fraudulent-Trump,1,0
892,1,__NA__,2,3,4,5,2,4,3,2,0,0,10,3,2,2,2,,,4,1,5,5,1,9,1,1,1,0.933589436394987,Democrat,Fraudulent,Trump,serious,0.5,Uncounted,Fraudulent-Trump,0,1
893,1,__NA__,1,7,7,7,1,5,7,7,0,10,10,1,1,1,1,6,,,2,4,4,2,3,1,1,1,0.683976808265883,Democrat,Uncounted,Biden,wrong,0.833333333333333,Fraudulent,Uncounted-Biden,1,1
894,2,__NA__,7,3,5,5,2,5,5,5,5,95,5,3,1,1,1,,,5,1,5,5,2,2,2,1,1,0.488261245725422,Republican,Fraudulent,Biden,wrong,0.666666666666667,Uncounted,Fraudulent-Biden,0,1
895,3,__NA__,3,7,5,5,2,2,2,5,0,0,0,2,2,2,2,,1,,1,4,4,1,5,1,1,1,0.431013290884665,Democrat,Forgone,Trump,serious,0,Uncounted,Forgone-Trump,0,0
896,3,__NA__,3,7,5,5,1,1,7,7,0,0,10,1,1,1,1,7,,,1,4,4,2,3,1,2,1,0.762879257339784,Democrat,Uncounted,Biden,wrong,1,Uncounted,Uncounted-Biden,1,1
897,1,__NA__,2,7,7,7,1,7,7,7,15,5,65,2,1,2,2,,7,,1,5,5,3,3,1,2,2,1.49378037207239,Democrat,Forgone,Biden,serious,1,Uncounted,Forgone-Biden,1,1
898,1,__NA__,1,6,5,6,2,7,7,7,0,5,25,3,3,2,2,,,6,1,1,4,2,2,2,1,1,0.444085123300894,Democrat,Fraudulent,None,serious,0.833333333333333,Uncounted,Fraudulent-None,0,1
899,1,__NA__,2,7,6,6,1,5,6,6,0,0,5,1,1,2,2,6,,,1,5,4,2,4,1,1,1,0.356478802588394,Democrat,Uncounted,Biden,serious,0.833333333333333,Uncounted,Uncounted-Biden,1,1
900,1,__NA__,1,7,7,7,1,7,7,7,0,0,1,2,2,1,1,,7,,1,3,3,2,4,2,1,1,0.460039428250573,Democrat,Forgone,Trump,wrong,1,Uncounted,Forgone-Trump,0,0
901,2,__NA__,6,7,7,7,2,7,7,7,50,50,10,1,3,1,1,7,,,2,4,2,5,3,1,3,2,0.317117102020276,Republican,Uncounted,None,wrong,1,Fraudulent,Uncounted-None,0,0
902,3,__NA__,5,3,7,3,1,5,5,5,10,20,10,3,2,2,2,,,3,,3,2,2,4,1,1,1,0.347023110418623,Republican,Fraudulent,Trump,serious,0.333333333333333,,Fraudulent-Trump,1,0
903,1,__NA__,1,7,7,7,2,7,7,7,1,0,0,2,3,2,2,,4,,2,5,5,3,5,2,1,2,0.715986828438883,Democrat,Forgone,None,serious,0.5,Fraudulent,Forgone-None,0,0
904,1,__NA__,1,7,7,7,1,4,7,7,3,4,5,3,2,2,2,,,1,1,4,4,3,5,2,1,1,0.701011012183849,Democrat,Fraudulent,Trump,serious,0,Uncounted,Fraudulent-Trump,0,1
905,1,__NA__,1,7,7,7,2,7,7,7,0,3,3,1,3,1,1,7,,,1,4,4,1,2,1,1,1,0.324180155108411,Democrat,Uncounted,None,wrong,1,Uncounted,Uncounted-None,0,0
906,2,__NA__,6,5,7,4,1,7,5,5,10,3,0,3,2,2,2,,,5,1,3,2,5,2,2,4,2,1.52776152056303,Republican,Fraudulent,Trump,serious,0.666666666666667,Uncounted,Fraudulent-Trump,1,0
907,2,__NA__,7,7,7,7,2,7,7,7,25,50,0,1,3,1,1,7,,,2,4,1,4,4,2,4,1,0.748837781170419,Republican,Uncounted,None,wrong,1,Fraudulent,Uncounted-None,0,0
908,3,__NA__,3,6,6,6,1,2,4,4,1,1,2,3,1,2,2,,,2,1,4,4,1,2,2,1,1,0.0427401399259487,Democrat,Fraudulent,Biden,serious,0.166666666666667,Uncounted,Fraudulent-Biden,1,0
909,1,__NA__,1,5,6,6,1,6,5,7,0,1,7,3,1,1,1,,,6,1,1,4,5,5,1,3,2,0.465482313147587,Democrat,Fraudulent,Biden,wrong,0.833333333333333,Uncounted,Fraudulent-Biden,1,0
910,2,__NA__,7,5,7,5,1,7,7,7,5,0,0,1,3,1,1,7,,,2,4,2,4,3,2,3,1,0.564351523044121,Republican,Uncounted,None,wrong,1,Fraudulent,Uncounted-None,0,0
911,2,__NA__,7,7,7,7,2,7,7,7,50,50,50,3,2,2,2,,,7,2,5,5,5,2,1,2,2,0.784322112252467,Republican,Fraudulent,Trump,serious,1,Fraudulent,Fraudulent-Trump,1,0
912,4,Progressive,3,7,6,7,2,7,7,7,4,0,35,3,2,1,1,,,7,1,4,4,2,2,1,1,1,0.266811530290165,Democrat,Fraudulent,Trump,wrong,1,Uncounted,Fraudulent-Trump,0,1
913,2,__NA__,7,5,7,5,2,7,7,7,1,0,0,3,2,2,2,,,7,1,4,1,4,4,1,2,2,0.929648848339274,Republican,Fraudulent,Trump,serious,1,Uncounted,Fraudulent-Trump,1,0
914,1,__NA__,1,7,7,7,2,6,7,7,0,0,0,3,2,1,1,,,7,1,4,4,1,2,2,1,1,0.272070093611722,Democrat,Fraudulent,Trump,wrong,1,Uncounted,Fraudulent-Trump,0,1
915,2,__NA__,7,5,7,5,2,7,5,5,20,20,0,3,2,2,2,,,5,2,4,1,4,9,2,4,9,0.784322112252467,Republican,Fraudulent,Trump,serious,0.666666666666667,Fraudulent,Fraudulent-Trump,1,0
916,1,__NA__,1,7,7,7,2,7,7,7,25,50,40,2,2,1,1,,7,,2,2,1,1,2,2,2,1,0.913736130419466,Democrat,Forgone,Trump,wrong,1,Fraudulent,Forgone-Trump,0,0
917,1,__NA__,1,7,7,7,2,5,5,7,10,90,0,1,1,2,2,7,,,1,2,4,3,2,2,1,1,0.269881034465815,Democrat,Uncounted,Biden,serious,1,Uncounted,Uncounted-Biden,1,1
918,3,__NA__,3,6,6,6,1,6,6,6,100,0,0,2,3,1,1,,3,,2,5,5,2,3,2,1,1,0.200111228649369,Democrat,Forgone,None,wrong,0.333333333333333,Fraudulent,Forgone-None,0,0
919,2,__NA__,6,7,7,7,2,7,7,7,,,,2,1,1,1,,5,,,3,3,6,4,1,9,1,0.37143432418624,Republican,Forgone,Biden,wrong,0.666666666666667,,Forgone-Biden,0,0
920,2,__NA__,7,7,7,7,2,7,7,7,75,15,2,3,2,1,1,,,7,2,2,2,5,5,2,4,2,2.16329814038932,Republican,Fraudulent,Trump,wrong,1,Fraudulent,Fraudulent-Trump,1,0
921,3,__NA__,3,6,5,6,1,5,6,7,0,0,5,1,1,2,2,6,,,1,4,4,2,3,2,1,1,2.43396421770673,Democrat,Uncounted,Biden,serious,0.833333333333333,Uncounted,Uncounted-Biden,1,1
922,1,__NA__,1,7,7,7,2,6,7,7,0,0,0,1,2,2,2,7,,,1,4,4,1,2,1,1,1,0.231480906804849,Democrat,Uncounted,Trump,serious,1,Uncounted,Uncounted-Trump,0,0
923,1,__NA__,1,6,2,5,1,2,4,4,5,5,20,2,1,1,1,,3,,1,2,2,3,3,1,2,2,2.51661047315165,Democrat,Forgone,Biden,wrong,0.333333333333333,Uncounted,Forgone-Biden,1,1
924,1,__NA__,1,7,7,7,2,7,7,7,0,0,5,3,1,2,2,,,6,1,4,4,1,1,2,1,1,0.269881034465815,Democrat,Fraudulent,Biden,serious,0.833333333333333,Uncounted,Fraudulent-Biden,1,0
925,1,__NA__,2,5,3,2,2,3,6,2,15,10,15,1,2,1,1,3,,,1,2,3,2,2,2,2,2,1.49805932663799,Democrat,Uncounted,Trump,wrong,0.333333333333333,Uncounted,Uncounted-Trump,0,0
926,2,__NA__,7,7,7,,1,7,7,7,10,20,0,2,3,2,2,,2,,2,4,1,4,1,2,3,2,0.409031482734041,Republican,Forgone,None,serious,0.166666666666667,Fraudulent,Forgone-None,0,0
927,1,__NA__,1,6,6,7,2,7,7,7,30,0,25,1,2,2,2,6,,,1,4,4,2,3,1,1,1,0.353610596190663,Democrat,Uncounted,Trump,serious,0.833333333333333,Uncounted,Uncounted-Trump,0,0
928,3,__NA__,5,5,7,5,1,7,7,7,15,30,1,3,3,2,2,,,6,2,1,3,4,4,1,4,1,0.452804442116074,Republican,Fraudulent,None,serious,0.833333333333333,Fraudulent,Fraudulent-None,0,1
929,1,__NA__,1,7,7,7,1,7,7,7,0,0,0,1,2,2,2,7,,,1,4,4,2,2,2,1,1,0.366077032770324,Democrat,Uncounted,Trump,serious,1,Uncounted,Uncounted-Trump,0,0
930,3,__NA__,5,7,6,6,1,6,6,6,5,5,0,3,2,1,1,,,7,2,4,1,6,9,2,9,2,0.444898832445613,Republican,Fraudulent,Trump,wrong,1,Fraudulent,Fraudulent-Trump,1,0
931,3,__NA__,3,7,7,6,2,7,7,7,0,0,0,2,3,2,2,,6,,1,3,4,2,2,1,1,1,0.165405635588031,Democrat,Forgone,None,serious,0.833333333333333,Uncounted,Forgone-None,0,0
932,1,__NA__,1,7,7,7,1,7,7,7,0,0,1,1,1,2,2,7,,,1,4,4,3,2,1,2,1,0.250559227774727,Democrat,Uncounted,Biden,serious,1,Uncounted,Uncounted-Biden,1,1
933,2,__NA__,6,7,7,7,2,7,7,7,2,5,2,2,2,1,1,,7,,2,4,4,2,3,2,2,2,0.377041331719037,Republican,Forgone,Trump,wrong,1,Fraudulent,Forgone-Trump,1,1
934,2,__NA__,6,7,7,7,1,7,7,7,50,50,25,1,3,2,2,7,,,2,4,1,4,4,1,3,3,0.608456064194128,Republican,Uncounted,None,serious,1,Fraudulent,Uncounted-None,0,0
935,2,__NA__,7,4,7,4,2,7,5,5,2,1,0,3,1,1,1,,,7,2,4,1,4,9,2,3,2,0.609756508470859,Republican,Fraudulent,Biden,wrong,1,Fraudulent,Fraudulent-Biden,0,1
936,1,__NA__,2,7,7,,1,7,,7,0,0,0,2,3,1,1,,7,,2,5,5,3,9,1,1,1,0.472454034603229,Democrat,Forgone,None,wrong,1,Fraudulent,Forgone-None,0,0
937,2,__NA__,6,6,7,6,1,3,3,5,8,2,1,3,3,1,1,,,5,1,5,5,4,9,1,3,2,2.66622549246688,Republican,Fraudulent,None,wrong,0.666666666666667,Uncounted,Fraudulent-None,0,1
938,1,__NA__,2,6,6,6,1,7,7,7,5,50,35,1,1,1,1,6,,,2,1,1,5,3,1,3,3,0.229841166619617,Democrat,Uncounted,Biden,wrong,0.833333333333333,Fraudulent,Uncounted-Biden,1,1
939,2,__NA__,7,4,7,4,1,6,5,5,59,25,,1,1,2,2,4,,,1,4,1,5,4,1,3,2,0.989024745662573,Republican,Uncounted,Biden,serious,0.5,Uncounted,Uncounted-Biden,0,0
940,2,__NA__,7,5,7,5,1,7,6,6,100,100,100,1,3,1,1,7,,,2,1,1,5,4,2,2,2,0.4514191127672,Republican,Uncounted,None,wrong,1,Fraudulent,Uncounted-None,0,0
941,3,__NA__,3,7,6,7,2,7,7,7,89,20,50,2,3,2,2,,1,,1,1,1,5,5,2,4,3,0.678824076339652,Democrat,Forgone,None,serious,0,Uncounted,Forgone-None,0,0
942,3,__NA__,3,6,6,6,1,6,6,7,2,4,0,2,1,2,2,,7,,1,3,3,2,2,2,1,1,0.514962257006531,Democrat,Forgone,Biden,serious,1,Uncounted,Forgone-Biden,1,1
943,2,__NA__,7,7,7,6,1,7,7,7,40,70,40,2,1,1,1,,5,,2,4,1,5,5,1,4,,0.787386944706177,Republican,Forgone,Biden,wrong,0.666666666666667,Fraudulent,Forgone-Biden,0,0
944,3,__NA__,3,7,7,7,2,7,7,7,0,0,99,3,1,2,2,,,7,1,5,5,2,5,1,1,1,0.294213849074486,Democrat,Fraudulent,Biden,serious,1,Uncounted,Fraudulent-Biden,1,0
945,1,__NA__,1,7,3,5,1,5,6,7,1,1,3,3,3,2,2,,,2,1,4,4,1,1,1,1,1,0.554118068270505,Democrat,Fraudulent,None,serious,0.166666666666667,Uncounted,Fraudulent-None,0,1
946,1,__NA__,1,7,6,6,2,1,7,5,0,1,1,3,3,2,2,,,3,1,4,4,2,3,2,1,1,0.487216067966241,Democrat,Fraudulent,None,serious,0.333333333333333,Uncounted,Fraudulent-None,0,1
947,2,__NA__,6,7,7,6,2,7,7,7,0,100,0,2,2,1,1,,7,,1,3,3,6,9,2,1,1,0.245863860863079,Republican,Forgone,Trump,wrong,1,Uncounted,Forgone-Trump,1,1
948,3,__NA__,5,5,7,5,2,7,7,7,10,15,20,1,3,1,1,7,,,2,3,1,3,4,2,2,1,0.320106822638836,Republican,Uncounted,None,wrong,1,Fraudulent,Uncounted-None,0,0
949,2,__NA__,7,3,7,3,1,7,7,5,10,20,0,3,2,1,1,,,7,2,4,1,4,4,1,4,2,0.132007672213768,Republican,Fraudulent,Trump,wrong,1,Fraudulent,Fraudulent-Trump,1,0
950,2,__NA__,6,7,2,4,2,2,2,7,10,20,10,3,3,1,1,,,2,1,4,1,4,5,2,4,3,1.33444744597231,Republican,Fraudulent,None,wrong,0.166666666666667,Uncounted,Fraudulent-None,0,1
951,2,__NA__,7,7,7,7,1,7,7,5,10,20,5,3,1,1,1,,,7,2,3,1,4,3,1,3,3,0.609756508470859,Republican,Fraudulent,Biden,wrong,1,Fraudulent,Fraudulent-Biden,0,1
952,1,__NA__,1,2,6,3,2,5,6,6,50,50,60,1,3,2,2,6,,,1,5,5,6,2,1,3,1,1.76437946789183,Democrat,Uncounted,None,serious,0.833333333333333,Uncounted,Uncounted-None,0,0
953,3,__NA__,5,6,7,6,2,3,2,6,5,1,0,1,3,2,2,2,,,2,4,4,2,1,1,2,1,0.40444918797706,Republican,Uncounted,None,serious,0.166666666666667,Fraudulent,Uncounted-None,0,0
954,1,__NA__,1,6,6,5,1,7,6,7,45,65,55,1,1,2,2,6,,,1,5,5,4,9,1,9,9,1.32330166818344,Democrat,Uncounted,Biden,serious,0.833333333333333,Uncounted,Uncounted-Biden,1,1
955,2,__NA__,6,7,7,7,1,7,7,7,8,11,25,3,1,2,2,,,7,1,4,1,4,3,1,4,4,0.831889953292863,Republican,Fraudulent,Biden,serious,1,Uncounted,Fraudulent-Biden,0,1
956,3,__NA__,5,7,7,7,2,7,7,,25,25,10,3,1,1,1,,,7,2,4,1,5,9,2,4,4,0.36999203699782,Republican,Fraudulent,Biden,wrong,1,Fraudulent,Fraudulent-Biden,0,1
957,1,__NA__,1,7,7,6,2,4,7,7,0,0,3,1,1,1,1,7,,,1,5,5,1,1,2,1,1,0.232662708232457,Democrat,Uncounted,Biden,wrong,1,Uncounted,Uncounted-Biden,1,1
958,3,__NA__,3,6,5,6,1,7,7,7,1,1,,3,2,1,1,,,5,1,3,3,6,4,2,1,1,3.21016491168556,Democrat,Fraudulent,Trump,wrong,0.666666666666667,Uncounted,Fraudulent-Trump,0,1
959,3,__NA__,5,7,7,7,2,7,6,7,5,5,0,3,1,1,1,,,7,2,4,2,3,2,2,2,1,1.61479006862442,Republican,Fraudulent,Biden,wrong,1,Fraudulent,Fraudulent-Biden,0,1
960,3,__NA__,3,7,7,5,1,6,6,6,0,1,0,1,2,1,1,6,,,1,4,4,1,2,1,1,1,0.18976738837079,Democrat,Uncounted,Trump,wrong,0.833333333333333,Uncounted,Uncounted-Trump,0,0
961,1,__NA__,2,7,3,7,1,3,7,7,0,5,20,3,2,2,2,,,3,1,1,4,2,4,2,1,1,1.07993948183037,Democrat,Fraudulent,Trump,serious,0.333333333333333,Uncounted,Fraudulent-Trump,0,1
962,1,__NA__,1,5,5,6,2,5,5,5,1,10,10,2,1,2,2,,6,,1,2,2,1,3,2,1,1,0.310857300064811,Democrat,Forgone,Biden,serious,0.833333333333333,Uncounted,Forgone-Biden,1,1
963,2,__NA__,6,6,7,5,2,7,7,7,100,75,0,2,1,1,1,,1,,2,4,1,5,5,2,4,2,0.402828830016497,Republican,Forgone,Biden,wrong,0,Fraudulent,Forgone-Biden,0,0
964,1,__NA__,2,7,6,7,1,7,7,7,0,0,0,1,2,1,1,7,,,1,1,4,1,9,1,1,1,6.43622365857457,Democrat,Uncounted,Trump,wrong,1,Uncounted,Uncounted-Trump,0,0
965,2,__NA__,7,7,7,5,2,7,7,7,100,25,10,1,1,1,1,7,,,2,4,1,5,5,2,4,3,0.451641243753785,Republican,Uncounted,Biden,wrong,1,Fraudulent,Uncounted-Biden,0,0
966,1,__NA__,1,6,5,7,2,3,7,7,0,0,0,3,2,2,2,,,5,1,4,4,2,4,2,1,1,0.334074661587502,Democrat,Fraudulent,Trump,serious,0.666666666666667,Uncounted,Fraudulent-Trump,0,1
967,3,__NA__,3,7,6,6,1,5,6,7,0,0,0,3,2,1,1,,,6,1,4,4,2,3,2,1,1,0.0400118570774719,Democrat,Fraudulent,Trump,wrong,0.833333333333333,Uncounted,Fraudulent-Trump,0,1
968,3,__NA__,3,7,6,7,2,3,5,7,0,100,1,3,3,2,2,,,6,2,2,4,1,1,1,2,1,0.302615020181857,Democrat,Fraudulent,None,serious,0.833333333333333,Fraudulent,Fraudulent-None,0,1
969,1,__NA__,1,5,5,5,1,5,6,6,2,5,10,1,3,2,2,5,,,1,4,4,2,9,2,1,2,0.453340437511893,Democrat,Uncounted,None,serious,0.666666666666667,Uncounted,Uncounted-None,0,0
970,2,__NA__,7,5,7,4,1,7,7,7,8,20,1,3,1,1,1,,,7,2,3,3,4,9,2,3,2,0.428413796128578,Republican,Fraudulent,Biden,wrong,1,Fraudulent,Fraudulent-Biden,0,1
971,3,__NA__,5,6,7,,1,,7,7,10,0,0,3,3,1,1,,,7,2,2,1,5,4,1,3,1,0.372730124615253,Republican,Fraudulent,None,wrong,1,Fraudulent,Fraudulent-None,0,1
972,2,__NA__,7,7,7,6,1,7,7,7,50,50,20,2,2,1,1,,7,,2,4,1,5,4,1,4,2,0.409031482734041,Republican,Forgone,Trump,wrong,1,Fraudulent,Forgone-Trump,1,1
973,2,__NA__,6,5,6,5,1,6,6,7,2,1,0,1,2,2,2,6,,,2,2,1,3,5,1,3,2,0.564923310372673,Republican,Uncounted,Trump,serious,0.833333333333333,Fraudulent,Uncounted-Trump,1,1
974,1,__NA__,1,5,3,4,1,2,4,5,0,0,15,1,2,2,2,4,,,1,3,4,3,3,1,2,2,0.740939084329282,Democrat,Uncounted,Trump,serious,0.5,Uncounted,Uncounted-Trump,0,0
975,1,__NA__,2,7,5,6,1,2,2,2,1,0,1,2,2,1,1,,1,,1,4,4,1,2,2,1,1,0.250559227774727,Democrat,Forgone,Trump,wrong,0,Uncounted,Forgone-Trump,0,0
976,2,__NA__,6,7,7,7,1,7,7,7,50,50,50,1,1,2,2,7,,,2,4,1,4,9,2,4,9,0.965210597849198,Republican,Uncounted,Biden,serious,1,Fraudulent,Uncounted-Biden,0,0
977,2,__NA__,7,5,7,5,2,7,7,7,20,20,10,2,3,1,1,,7,,2,4,1,5,4,2,3,2,0.476933262813426,Republican,Forgone,None,wrong,1,Fraudulent,Forgone-None,0,0
978,2,__NA__,7,7,7,7,2,7,7,,1,0,0,3,1,2,2,,,7,2,3,3,3,9,2,1,1,0.289154036443872,Republican,Fraudulent,Biden,serious,1,Fraudulent,Fraudulent-Biden,0,1
979,2,__NA__,7,6,6,5,2,7,6,5,5,,0,3,2,1,1,,,7,2,3,1,4,2,1,3,2,0.521655558188338,Republican,Fraudulent,Trump,wrong,1,Fraudulent,Fraudulent-Trump,1,0
